Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10020.txt
apartment : 5
smiles : 4
path : 4
ofhis : 4
ofhim : 2
Palace : 17
pass : 13
past : 10
mile : 3
easy : 10
whose : 12
Note : 17
domain : 8
wasdelighted : 2
touched : 5
October : 4
Strange : 12
MINIATURES : 2
mine : 4
mind : 29
STRAND : 6
touches : 2
Foundations : 3
Your : 65
Sketch : 3
added : 12
down : 43
wretched : 2
habit : 2
club : 2
legal : 2
LICENSE : 12
seated : 2
doesnot : 2
rather : 13
importance : 3
worthy : 2
With : 353
miss : 3
Luncheon : 3
permission : 7
Ishould : 2
travels : 2
brothers : 4
Even : 30
whereas : 2
letters : 10
fear : 5
appreciation : 3
sense : 7
Canada : 3
printed : 2
bonze : 5
served : 2
opens : 3
glanced : 3
thesound : 2
mention : 5
mad : 6
man : 61
twenty : 9
may : 55
supplied : 3
Roman : 3
bless : 3
prostrate : 2
morethan : 2
feet : 6
fees : 3
Snow : 4
LAY : 16
feel : 8
terribly : 3
Marac : 3
DININGROOMFrom : 3
residence : 4
terrible : 14
inmy : 2
ideal : 2
Miniature : 3
BEETLE : 3
equipment : 2
ideas : 2
interrupted : 3
pressure : 2
meI : 3
fixedly : 2
directions : 3
handsome : 4
breath : 2
men : 26
physical : 3
met : 10
wicked : 4
depicted : 3
exactly : 3
masculine : 2
breast : 3
Claquettes : 2
about : 64
danger : 3
History : 3
crash : 3
granted : 2
character : 7
above : 6
stick : 2
height : 5
myself : 14
outer : 5
wonderful : 6
CRYSTAL : 4
received : 10
quality : 2
avoided : 3
Russell : 2
animal : 2
March : 2
believe : 5
fell : 6
into : 75
glance : 6
boots : 3
attentively : 4
though : 23
comewith : 2
appear : 6
downThe : 2
associated : 10
holds : 2
wording : 3
open : 11
suffering : 4
First : 37
displaying : 4
WRITTEN : 45
studying : 2
felt : 27
owing : 4
William : 6
Onslows : 2
allow : 5
proper : 4
gesture : 7
recently : 3
Wilhelmina : 2
bedroom : 3
pedlar : 8
money : 13
healthy : 2
withalmost : 2
whole : 10
fingers : 4
relation : 2
COME : 45
meIllustration : 3
still : 17
books : 3
among : 9
Amongst : 4
signature : 13
enjoy : 3
ourselves : 3
specified : 3
naturally : 4
writing : 11
federal : 2
pewter : 2
believed : 3
forthe : 2
haste : 3
altogether : 2
ages : 2
Farmer : 3
voice : 22
prepared : 4
Celebrities : 2
ofher : 5
discover : 5
excite : 2
failed : 5
appointed : 8
tobe : 4
hisface : 2
WILD : 8
toad : 18
SNAP : 4
Contact : 3
dessert : 2
WILL : 113
perfection : 2
saved : 5
leading : 6
Everything : 6
music : 12
Street : 9
Freaks : 3
because : 10
July : 2
moving : 2
agreement : 17
toher : 2
guest : 3
detail : 4
June : 5
DAYS : 20
sleep : 15
gazing : 2
Ferdinand : 3
stretched : 3
Inspector : 3
Taken : 22
descent : 2
pathway : 2
Take : 29
togo : 2
photographic : 2
wrote : 5
cardinal : 2
materials : 3
Socalled : 2
respecting : 2
andis : 2
Holt : 2
ride : 3
stretch : 2
Palaces : 7
Annual : 2
havoc : 2
Home : 16
ABOUT : 64
mistake : 2
Tale : 2
Horror : 14
rich : 11
chiefly : 2
Talk : 5
WITH : 353
Freres : 8
thedog : 2
MEIllustration : 3
visited : 2
Indian : 2
attacked : 2
family : 14
swear : 4
TOWARDS : 12
career : 2
copyright : 13
told : 50
release : 2
rolled : 2
moral : 5
Song : 3
judge : 3
darkness : 5
Frogs : 6
similar : 3
notknow : 2
Some : 89
Medical : 10
EVEN : 30
MAN : 61
crossed : 2
carved : 3
tone : 4
MAY : 55
against : 11
holiday : 2
bedstead : 2
indicates : 2
pianos : 2
linger : 3
Living : 10
grasshopper : 2
doublehanded : 3
Soon : 21
pages : 3
intense : 2
took : 30
new : 17
tohis : 2
tohim : 2
intervals : 4
EVIL : 2
MEN : 26
CENSORS : 3
THREE : 17
reaching : 4
around : 5
electronicworks : 2
whisper : 2
Let : 15
Fine : 17
Les : 10
duringthe : 3
Wiltshire : 2
fully : 4
flash : 2
students : 3
comeWith : 2
butthey : 2
Lie : 2
tour : 2
persuade : 2
Queens : 6
ESSENDON : 3
understood : 5
supported : 2
swung : 2
Malvern : 2
landlady : 2
town : 5
girl : 14
whatever : 5
ignorance : 2
blind : 3
hidden : 3
string : 3
shivered : 2
nearly : 13
simplicity : 2
nor : 3
not : 239
now : 66
youhave : 4
SPOKE : 10
lived : 2
thoughts : 4
tothat : 2
Holding : 2
Jean : 3
what : 75
droop : 2
ProjectGutenberg : 5
when : 110
struggling : 3
promising : 3
give : 31
lives : 3
travellers : 2
lofty : 2
Loo : 2
Station : 6
determined : 5
didnt : 6
ladies : 2
Aristaeus : 2
apartments : 4
direct : 4
modern : 4
Kathleen : 3
wrong : 5
Crown : 4
BISHOP : 6
certain : 16
himon : 2
widow : 2
used : 25
earned : 2
Consumption : 3
otherwise : 3
marked : 3
visible : 2
nearer : 3
market : 2
keep : 12
solemn : 2
Ltd : 2
Cross : 5
Ingram : 2
alone : 10
andrather : 2
along : 10
Boulevards : 2
INSPECTOR : 3
approached : 2
user : 3
inhabitants : 4
giant : 23
itwas : 5
promoting : 2
turning : 3
consideration : 4
JULY : 2
brother : 8
frank : 3
search : 4
furnished : 2
whom : 13
scarcely : 14
Signatures : 9
disclaimer : 3
JUNE : 5
trapeze : 3
alternate : 2
oclockhe : 2
Place : 30
theAdorned : 3
stairs : 3
girls : 6
armour : 2
theballroom : 2
accounted : 3
warning : 4
HOLD : 6
image : 2
restlessness : 2
burst : 2
carry : 4
necessity : 3
burden : 2
oak : 2
mosaic : 2
isvery : 2
trouble : 6
proverb : 2
class : 3
kept : 9
HOLT : 2
HENRY : 50
EBooks : 11
correspondent : 2
HENRI : 2
very : 106
Throughout : 2
lunatic : 2
agony : 2
agood : 2
Private : 10
burnt : 3
encouraging : 2
issue : 5
lower : 2
Plain : 3
cheeks : 6
Man : 61
turned : 12
May : 55
library : 9
sadly : 2
seemed : 10
draw : 2
wandering : 2
off : 24
generally : 4
complete : 2
WINDING : 4
Probably : 12
Aberdeen : 2
THETRADEMARK : 2
edge : 4
antique : 2
Alas : 5
months : 4
eldest : 4
keys : 2
butthat : 2
considerable : 4
elders : 2
sympathy : 3
brief : 5
pretty : 15
determine : 2
drew : 5
madame : 5
wrought : 2
painting : 8
RICHARD : 4
Paris : 4
evidently : 6
promised : 2
expedient : 3
States : 15
Daily : 4
speaking : 9
breaking : 3
old : 44
diseased : 3
isnothing : 2
onA : 3
variety : 3
Thomas : 2
ona : 3
one : 173
connected : 2
dealer : 2
Dutch : 7
country : 15
Name : 23
regularly : 2
downthe : 2
details : 2
wardrobe : 22
Another : 21
Cane : 4
DAMAGES : 3
suppose : 4
upright : 3
Common : 3
NOT : 239
NOV : 5
towns : 2
NOW : 66
support : 5
Camp : 2
ruffian : 2
cold : 9
pure : 2
life : 26
damp : 3
Whenever : 2
lieu : 2
cases : 5
Henrys : 7
witha : 4
Commissioner : 3
RECEPTIONROOMFrom : 3
succeed : 2
isthe : 3
CHEER : 2
pupil : 2
Gladstone : 6
connection : 3
ROOMCOLLEGE : 2
asleep : 5
presence : 2
seized : 3
Mons : 6
method : 5
wife : 22
come : 45
leather : 2
overburnished : 2
moreimmediately : 2
examples : 2
throughthe : 2
Those : 22
cops : 2
columns : 2
distribution : 4
our : 34
out : 90
capacity : 5
Mrs : 2
PaintingIllustration : 2
ghost : 3
dark : 8
copy : 11
dare : 3
himOn : 2
contrive : 2
Born : 6
vases : 5
date : 5
data : 2
own : 27
Most : 46
World : 5
King : 5
NIGHT : 40
distributing : 7
Itis : 4
blow : 3
like : 43
Period : 3
efforts : 6
ground : 5
hemust : 2
Both : 15
note : 17
aint : 7
hearty : 3
line : 4
conveyed : 2
hearts : 2
nose : 2
cost : 6
stories : 4
will : 113
confidence : 2
Navy : 2
compliance : 5
Also : 37
dignity : 3
wild : 8
snap : 4
your : 65
explanation : 5
these : 31
begins : 2
Helmet : 11
contributions : 2
Elders : 2
sister : 3
sayAnd : 2
frames : 3
devices : 2
PICKED : 4
youI : 2
wing : 4
wine : 3
wind : 3
humble : 2
chirp : 2
carriage : 8
talking : 3
Diary : 2
arrived : 3
Elliott : 2
lips : 5
photograph : 8
blue : 11
speaks : 2
pocketbook : 4
days : 20
combined : 3
faces : 4
shuddered : 2
dayand : 2
wish : 12
conversation : 6
Unless : 11
invitation : 2
pay : 8
enormous : 4
strange : 12
About : 64
Above : 6
child : 14
divided : 4
ClarkFrom : 2
instrument : 5
medium : 5
remove : 2
wisdom : 4
Over : 41
treasure : 2
live : 10
Camilles : 2
Municipal : 3
with : 353
china : 5
service : 4
there : 99
coffee : 4
Magazine : 7
hectic : 2
OCT : 2
Ihave : 4
License : 12
uncles : 4
ceased : 2
Deed : 3
period : 3
proceed : 3
Hitherto : 3
uncleI : 2
birth : 2
slowly : 5
ever : 22
Governor : 2
even : 30
thedeath : 2
eBook : 14
engaged : 3
folds : 2
kinds : 8
Among : 9
hesaid : 2
READING : 10
Quick : 6
reproduced : 2
homely : 2
impressions : 2
MAGAZINE : 7
New : 17
imposed : 2
manner : 12
shefelt : 2
pin : 4
chimneypiece : 3
terror : 5
everyone : 6
heroic : 2
THuis : 2
kings : 9
Three : 17
snow : 4
evil : 2
prisoner : 4
cause : 8
Somevery : 2
agitated : 2
beetle : 3
vulgar : 2
atpresent : 3
design : 2
victim : 4
Through : 31
Equerry : 2
MOMENT : 22
chief : 9
vigour : 2
followed : 8
Merry : 4
burning : 3
English : 7
velvet : 6
interested : 9
policeman : 2
WILLIAM : 6
SLEEP : 15
HAPPYIllustration : 3
liberty : 4
meeting : 3
displayed : 3
began : 14
Hesaid : 2
inher : 3
Project : 66
actions : 2
Whereas : 2
panels : 2
nobles : 2
ONE : 173
Would : 137
giving : 11
Andree : 3
escape : 4
receive : 4
CAME : 45
standing : 7
feelings : 3
canopy : 3
theapparition : 2
offers : 2
given : 19
Andrew : 54
Trois : 9
PHYSICIANSFrom : 4
Not : 239
Nos : 3
guilty : 2
Now : 66
inreality : 2
playing : 5
receipt : 3
employees : 2
pedlars : 3
asking : 2
GEORGE : 7
Grange : 13
Council : 2
anything : 23
heavens : 3
retired : 2
Haag : 3
QueenRegent : 6
notwithstanding : 3
windows : 9
curves : 3
BOOK : 6
shadow : 2
TEMPLE : 3
wrists : 5
put : 23
Bless : 3
Special : 5
mirrors : 2
light : 16
apparently : 3
valuable : 3
artist : 3
crimson : 4
helmet : 11
timepiece : 2
desire : 3
suffers : 3
unfortunately : 3
lately : 5
disgrace : 2
antiquity : 3
permanent : 3
Quite : 25
choice : 3
facility : 2
replace : 2
appointment : 2
listen : 6
wondering : 2
major : 2
consider : 3
friendthe : 2
group : 3
HEAVENS : 3
figment : 2
MOST : 46
absolutely : 2
KIND : 14
request : 4
their : 53
general : 8
requirements : 4
METhe : 3
clear : 5
clean : 4
neither : 4
glad : 5
hurry : 2
account : 4
uneasy : 2
ticking : 3
swivel : 2
safer : 2
Picture : 10
soft : 4
knowledge : 9
Hair : 6
enthusiasm : 4
trying : 4
comes : 9
soil : 2
bottle : 2
Camfield : 3
DAYFrom : 5
spare : 2
wellenough : 2
DEAR : 10
Readers : 2
Medicine : 3
tells : 4
Half : 6
series : 2
Hall : 12
onthe : 5
inclined : 3
ASCII : 3
hold : 6
tale : 2
bewildering : 2
talk : 5
tall : 6
train : 2
thecase : 2
scholar : 2
take : 29
accompany : 2
Flemish : 2
immediate : 3
theyare : 2
some : 89
landlord : 4
additional : 3
Henri : 2
Money : 13
Roof : 5
passes : 2
passed : 9
just : 25
Room : 84
Henry : 50
owner : 6
sold : 3
holy : 3
themorning : 3
home : 16
OVER : 41
material : 7
themost : 4
iron : 3
Good : 40
explain : 3
illustrations : 2
Thinking : 10
downHer : 2
royalty : 4
hope : 10
paragraphs : 3
Different : 10
soon : 21
sons : 2
husbands : 5
song : 3
stimulants : 2
distinctly : 3
Japanese : 5
heavy : 11
wifes : 5
baronet : 3
painted : 3
Rose : 19
ALWAYS : 31
summer : 3
Still : 17
nerves : 7
file : 5
together : 10
nerved : 2
within : 6
health : 4
favourite : 6
agents : 2
machine : 2
evening : 10
return : 7
instance : 3
serve : 2
smile : 11
fine : 17
find : 33
meThe : 3
host : 6
Albert : 2
MeredithWith : 2
drove : 3
pleasant : 2
Have : 187
sort : 9
seriously : 4
fill : 3
heart : 8
task : 3
true : 6
handcuff : 5
position : 7
since : 8
soul : 3
dangerous : 3
troubles : 4
hour : 13
troubled : 4
heard : 22
execution : 2
falling : 2
sought : 2
husbandI : 2
extraordinary : 4
Camille : 7
evident : 3
online : 4
writer : 4
writes : 2
coming : 9
handcuffed : 4
consumptiveHe : 2
firm : 5
Department : 2
fire : 4
numbered : 2
except : 11
inflicted : 3
awestruck : 3
prominent : 2
One : 173
Surprised : 3
unless : 11
ought : 5
Madame : 5
GHOST : 3
hecould : 2
people : 20
AngloSaxon : 2
operation : 3
cannon : 2
inside : 2
Strong : 14
itAt : 2
leaves : 3
five : 11
orreuse : 2
cradle : 2
collection : 4
youthful : 5
slept : 6
guessed : 2
campaign : 2
rough : 4
brougham : 2
father : 11
Legal : 2
derivative : 2
assistance : 5
commerce : 3
Cheer : 2
Mavor : 10
recognised : 2
wants : 7
wonder : 4
every : 33
answered : 22
again : 38
PUT : 23
during : 8
degrees : 2
games : 2
briefly : 2
reduced : 3
agree : 10
Out : 90
itself : 5
anyone : 10
Majestys : 4
Edited : 3
Pierre : 2
donations : 14
hoped : 3
scientificmethods : 2
damages : 3
uniform : 2
established : 2
finger : 3
caused : 6
consultingroom : 2
cannot : 24
Photograph : 8
dawned : 3
Night : 40
tight : 2
space : 3
sculptured : 2
chamber : 4
Brussels : 13
bottom : 2
solicit : 2
covered : 3
invariably : 2
accorded : 2
frequent : 4
statements : 2
Splendid : 3
SAID : 145
holding : 2
trace : 5
public : 15
DIRECT : 4
Holland : 6
charging : 2
sisters : 3
crept : 4
performance : 3
round : 18
comic : 2
horses : 5
references : 2
building : 5
quote : 4
HALL : 12
sorts : 3
ran : 7
younger : 2
Cardinal : 2
redistributing : 2
hurried : 5
Legion : 2
Author : 2
SAME : 30
CharlesDickenss : 2
posted : 4
French : 14
aspect : 2
goldframed : 2
breathed : 2
pulled : 3
womans : 5
swing : 3
calling : 3
qualities : 2
couple : 3
Lives : 3
moved : 2
Smallest : 3
red : 12
act : 6
frieze : 5
GOOD : 40
gifts : 3
dreaming : 2
consent : 3
SANK : 5
peacefully : 3
begged : 2
therefore : 4
trust : 2
soldiers : 4
prevent : 3
sorry : 3
happiness : 3
ghastly : 7
truth : 7
age : 32
shoulders : 3
smaller : 2
ago : 11
years : 30
EVERY : 33
defect : 2
George : 7
Minister : 2
eggs : 2
journals : 2
Mace : 2
system : 2
spot : 5
AGREE : 10
mighty : 2
aid : 2
other : 55
uncle : 25
retain : 2
HAVE : 187
air : 5
electronic : 19
speak : 13
GHASTLY : 7
ROSE : 19
Loch : 2
meantime : 2
future : 7
burnished : 2
DONATIONS : 14
movement : 4
PIPE : 3
body : 9
amongst : 4
cage : 2
SIGNATUREIllustration : 3
all : 126
always : 31
already : 12
applicable : 4
strangers : 4
expense : 2
alas : 5
reappeared : 2
TYRRELLIllustration : 3
favour : 2
weakness : 2
and : 1263
snowy : 3
abroad : 2
any : 74
Forgive : 3
suggested : 2
consists : 2
until : 13
dull : 2
thought : 19
taste : 2
gambling : 2
anywhere : 2
lookingglass : 2
Strand : 6
hergreat : 2
Iwas : 2
devoted : 4
broke : 3
nail : 2
hosts : 2
Agreat : 2
shabby : 4
spirits : 7
pathetic : 2
inspiring : 2
cried : 6
are : 161
came : 45
Female : 14
where : 31
Many : 36
THRONE : 4
stirred : 2
arm : 4
art : 5
esteem : 2
noticed : 6
holder : 4
call : 9
bowed : 2
calm : 2
thewords : 2
kick : 3
Music : 12
ask : 7
Investigation : 2
through : 31
strength : 4
officer : 6
cant : 8
Smoothclawed : 2
mother : 12
view : 12
ate : 2
inlaid : 3
yourself : 4
donate : 2
palace : 17
camp : 2
name : 23
Class : 3
cane : 4
Domain : 8
experimented : 2
receptionroom : 2
book : 6
Clark : 7
Opening : 2
Mary : 3
hypochondriacal : 2
Put : 23
mouth : 6
Thelandlords : 2
duty : 3
Bart : 2
saidI : 2
RichmondThe : 8
cart : 3
anxious : 9
piano : 3
broad : 2
Work : 70
truly : 5
andhave : 2
greater : 6
case : 15
MonsSauvallier : 3
Doctors : 5
Lord : 7
moon : 2
failing : 3
care : 5
damage : 2
assault : 2
portraits : 6
exercise : 5
BOSCH : 2
fireplace : 3
antiquities : 2
more : 71
born : 6
display : 2
Moral : 5
beautifully : 2
Family : 14
dinnertime : 3
parted : 2
ROOMFrom : 2
navy : 2
simple : 7
INCLUDING : 9
Mission : 4
described : 5
Produced : 6
itis : 4
kind : 14
both : 15
most : 46
nerve : 2
affection : 4
courteous : 3
sayand : 2
wards : 2
patient : 13
corridors : 2
sad : 2
traced : 2
mentioned : 2
accompanying : 2
KINGS : 9
amount : 3
noose : 2
sat : 22
saw : 37
earnestly : 3
say : 40
also : 37
enough : 11
REPLACEMENT : 5
educated : 3
guests : 2
latter : 5
depression : 2
bad : 4
bag : 2
FRIEZE : 5
luncheon : 3
guinea : 2
awake : 2
suffer : 2
bar : 7
personal : 6
Anyone : 10
angry : 4
symptoms : 6
Museum : 4
ANDREW : 54
greatly : 3
deal : 9
strong : 14
facing : 7
dead : 3
eyes : 31
sea : 4
see : 50
responsibility : 2
effectual : 2
EDITIONS : 3
dear : 10
nodded : 3
set : 13
joined : 2
battle : 2
Year : 14
WARRANTY : 2
byall : 2
earnest : 3
bed : 19
Issue : 5
beauty : 2
useless : 2
discharge : 2
allthe : 3
faded : 2
francs : 2
she : 300
HEAVY : 11
Gutenbergtmelectronic : 3
debt : 4
little : 59
deep : 8
forgive : 3
Scotland : 3
SMOKING : 2
explained : 2
deed : 3
collector : 2
getting : 4
appalling : 2
MACE : 2
itto : 2
sir : 122
AGE : 32
sit : 2
over : 41
brilliant : 2
living : 10
practical : 2
six : 5
bound : 7
stroke : 2
PULLED : 3
avoid : 2
fresh : 7
uttered : 3
big : 9
advanced : 2
bit : 4
improved : 2
President : 5
ofcourse : 3
striking : 4
convinced : 8
sky : 3
large : 14
surface : 2
Victoria : 2
satisfied : 2
Lamps : 2
tomorrow : 10
downher : 2
Carrying : 2
Dwarfs : 3
begin : 3
paragraph : 10
crystal : 4
prophet : 2
Possibly : 5
table : 13
change : 3
Allison : 2
miniatures : 2
punishment : 4
Frank : 3
constant : 3
Itwas : 5
several : 13
THUIS : 2
office : 4
anger : 2
ILLUSTRATED : 7
stands : 4
son : 14
handcuffs : 18
thrown : 2
AND : 1263
Giant : 23
behind : 9
mental : 3
ANY : 74
eminently : 2
boy : 8
continuedI : 2
Terrible : 14
highly : 3
facial : 2
chance : 3
nature : 15
Coles : 3
frightful : 2
clerk : 2
handles : 2
stoop : 2
buried : 2
stood : 15
OWNER : 6
CHIRP : 2
horrible : 6
friend : 16
drawn : 2
closely : 2
pleasure : 4
miserable : 4
morning : 20
horse : 7
mission : 4
PALACE : 17
doctors : 5
cheques : 2
autumn : 2
Such : 29
sum : 6
sun : 6
extended : 2
managed : 5
plainly : 3
GutenbergtmLicense : 2
preferred : 2
Samson : 12
storm : 3
makes : 6
enemies : 2
threatened : 2
store : 2
beloved : 2
facsimiles : 2
SirAndrew : 2
slipped : 7
story : 10
but : 230
Lower : 2
wished : 3
express : 3
instantly : 3
drawback : 2
written : 45
Duchess : 2
bending : 3
General : 8
doing : 3
idea : 13
throne : 4
prisoners : 7
Shefelt : 2
MEDICINE : 3
LORD : 7
News : 2
BART : 2
figure : 7
consumption : 3
stone : 2
MARY : 3
alittle : 2
children : 10
road : 8
Beetle : 3
weather : 2
roar : 2
nobody : 4
natural : 3
drank : 2
heredity : 2
stately : 2
scared : 2
necklaces : 2
CAMFIELD : 3
LOVE : 16
feature : 3
recall : 2
ProjectGutenbergtm : 11
emotion : 2
Sometimes : 8
utter : 2
growing : 2
readable : 2
alarmed : 3
goes : 4
patients : 14
ugly : 2
tax : 7
towards : 12
Plenty : 4
flung : 2
safe : 5
files : 2
Dunbar : 2
departure : 3
toshow : 2
herself : 22
instances : 2
balls : 2
SAT : 22
aware : 3
can : 63
hair : 6
stove : 3
said : 145
village : 5
TheAdorned : 3
carried : 8
satisfy : 2
haemorrhage : 2
Whites : 3
really : 11
clothes : 3
