Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10003.txt
led : 3
let : 9
les : 6
press : 2
cares : 2
Dufaure : 7
Beaconsfield : 4
regretted : 2
night : 36
havent : 2
ballet : 3
Legitimist : 3
marquise : 5
each : 27
jewels : 9
dAudiffretPasquier : 2
Marshal : 63
thirty : 2
polite : 3
perfectly : 33
ardent : 2
entertainment : 2
steamers : 2
does : 10
situation : 6
Foreign : 61
upto : 2
Norman : 2
ambassadresses : 2
attired : 2
surely : 3
Court : 19
Dinner : 65
feathers : 3
doubt : 2
prie : 2
verylong : 2
armchairs : 2
ballroom : 4
College : 4
fixed : 4
itThe : 2
cordon : 2
full : 30
Republicains : 2
away : 30
cards : 3
cared : 4
Dame : 2
atVersailles : 4
Baron : 3
titles : 3
supper : 11
manage : 2
Republicaine : 2
paid : 14
celebrities : 4
Count : 23
three : 38
WHEN : 251
remembered : 6
season : 3
lonely : 2
bien : 6
deputy : 7
roads : 2
GIVE : 20
provide : 7
Life : 64
togetherand : 2
low : 9
merely : 13
Presidents : 6
meant : 3
furs : 3
means : 4
Bunsen : 3
centre : 6
chere : 2
None : 6
door : 22
quick : 2
husband : 25
experience : 9
diplomatists : 5
deZuylen : 2
Like : 50
maison : 2
affair : 4
Countess : 12
andsecretaries : 2
Opposite : 3
obtain : 3
quitewonderful : 2
curiosity : 2
minutes : 11
amiable : 8
Queen : 22
Chateau : 7
particular : 5
done : 17
pause : 3
August : 6
henever : 2
afew : 5
Germanambassador : 3
dont : 53
INDEMNITY : 2
ease : 2
York : 2
part : 35
conversations : 4
workmen : 4
principal : 3
receptions : 22
relief : 3
park : 8
villages : 5
Date : 5
GUTENBERGtm : 34
Second : 7
intoa : 2
interfere : 4
fitting : 3
lui : 2
Coup : 5
fiery : 3
path : 6
ofhis : 3
accepting : 2
Philippe : 4
inan : 2
pass : 7
Palace : 22
past : 6
mourning : 3
stiffness : 2
easy : 19
whose : 7
domain : 10
diplomatist : 8
touched : 2
existed : 3
October : 3
Notre : 3
annoyed : 2
mine : 8
mind : 9
grateful : 2
Vallier : 11
bazaars : 2
Foundations : 4
Your : 20
phrases : 3
wellbehaved : 2
added : 3
down : 38
wretched : 3
habit : 5
brings : 2
thehouse : 3
legal : 2
club : 4
LICENSE : 11
seated : 4
ThePresident : 2
month : 7
occasions : 8
Cowes : 2
rather : 82
importance : 6
endless : 2
title : 3
papers : 19
With : 495
Therewere : 4
Children : 11
prince : 70
Grevy : 56
arrogant : 2
permission : 5
Ishould : 2
Seine : 10
decidedly : 2
Palais : 9
Champ : 3
exhausted : 3
usually : 12
Even : 41
letters : 8
jamais : 2
Distance : 8
Desprey : 3
Director : 5
signed : 2
appreciation : 2
sense : 4
duchesse : 8
field : 4
served : 4
senators : 5
goodbye : 2
skin : 2
thePrince : 2
man : 75
twenty : 3
carriageWith : 2
may : 24
Government : 29
Adams : 2
Roman : 4
princes : 20
feet : 4
opera : 15
feel : 4
convent : 6
wellarranged : 2
Icouldnt : 2
residence : 2
herand : 2
terrible : 4
Chambers : 19
Berlin : 41
equipment : 4
ideas : 6
Pourquoi : 2
handsome : 16
constitution : 3
soeurs : 4
ushered : 2
men : 96
repeat : 5
Vienna : 4
physical : 2
met : 20
speeches : 4
exactly : 14
PARIS : 98
protestations : 2
coachmen : 3
interpreting : 2
about : 113
danger : 3
granted : 2
andasked : 2
character : 5
moderate : 10
height : 2
myself : 11
frozen : 3
received : 34
wonderful : 14
flood : 3
Office : 31
shared : 3
March : 6
believe : 13
AngloSaxons : 3
fell : 5
into : 65
boots : 4
grandsons : 2
attentively : 2
holes : 2
stiff : 13
middle : 6
though : 20
onone : 2
mustcome : 2
everyday : 3
appear : 4
associated : 10
open : 27
suffering : 2
project : 68
Sante : 2
First : 102
displaying : 3
felt : 30
William : 7
Marie : 4
monde : 3
charmed : 2
bitter : 4
saidshe : 2
afterthe : 2
atthe : 15
lakes : 2
Bourbon : 3
httpgallicabnffr : 2
Mommsen : 3
bedroom : 3
Neither : 13
money : 7
mob : 2
withalmost : 2
whole : 19
Directeur : 2
fingers : 2
AffairsHe : 2
elevator : 2
theywould : 2
still : 35
relating : 2
toward : 9
books : 10
knowing : 11
among : 12
WIFE : 24
dAosta : 3
literary : 20
defended : 2
enjoy : 4
ourselves : 7
specified : 2
naturally : 21
writing : 6
federal : 2
fete : 7
forthe : 4
ceilings : 2
voice : 6
meOne : 3
prepared : 3
expecting : 4
appointed : 7
coursewas : 2
invaded : 2
mud : 2
tobe : 3
commonplace : 2
Tunisian : 2
withtheir : 2
anentirely : 2
Contact : 4
detach : 2
WILL : 27
leading : 6
Everything : 29
music : 27
July : 5
because : 6
moving : 5
Itseemed : 2
agreement : 19
agreeable : 5
gooddeal : 2
selection : 3
folded : 2
June : 4
forest : 2
DAYS : 75
sleep : 3
drawingroom : 13
refuse : 2
Embassies : 5
himhe : 2
evenings : 5
femme : 3
todo : 2
hisclub : 2
ELYSEE : 33
debates : 2
eager : 3
republic : 36
Monsieur : 10
togo : 2
wrote : 4
cardinal : 3
buildings : 3
riser : 3
TheAmericans : 2
chimney : 2
Sitting : 27
andit : 3
Iron : 4
ride : 2
Liberals : 2
breakfasted : 2
Holy : 3
ABOUT : 113
mistake : 3
andalways : 3
WITH : 495
Indian : 2
attacked : 2
family : 25
immediatelyafter : 3
atmosphere : 4
career : 8
copyright : 14
told : 55
release : 2
moral : 2
rien : 3
judge : 2
deputywho : 2
ParisThe : 2
foundations : 4
wives : 17
crossing : 2
Just : 55
Some : 164
Sullivan : 2
EVEN : 41
crossed : 2
fewdays : 2
against : 15
verylarge : 3
herhusband : 2
worldThe : 2
coronation : 2
honestly : 2
grandmother : 2
tomb : 2
Living : 15
womens : 2
cession : 2
foreignaffairs : 2
slip : 3
pages : 3
new : 54
took : 38
tohim : 4
intervals : 3
Sunday : 7
Officiel : 2
andat : 2
ofdelegates : 2
reaching : 2
DORSAY : 30
around : 12
floors : 2
gilt : 2
lIllustration : 2
politeness : 2
electronicworks : 2
Leo : 2
gotup : 2
entertainments : 5
decided : 8
Proofreading : 2
WALES : 14
dance : 4
Karolyi : 2
dining : 6
Trouville : 2
exchanged : 2
regrets : 2
students : 4
amused : 9
colts : 2
LIllustration : 2
Blowitz : 3
Martin : 3
tout : 2
stayed : 5
absolute : 3
embroidered : 4
gossip : 2
understood : 9
supported : 2
houses : 11
attractive : 4
imagine : 3
town : 9
buthe : 2
boats : 3
girl : 4
whatever : 3
yards : 2
Parliament : 16
hidden : 4
September : 4
nearly : 6
simplicity : 2
nor : 29
not : 231
tohear : 3
now : 30
statement : 2
lived : 31
election : 7
toys : 4
what : 73
ForeignAffairs : 2
butit : 2
rise : 2
wasmost : 3
ProjectGutenberg : 5
when : 251
veryinteresting : 3
Francis : 6
struggling : 4
give : 20
REPUBLIC : 36
lives : 10
Freycinet : 18
chickens : 2
lEmpire : 2
determined : 3
didnt : 101
shouldhave : 3
PUBLIC : 42
ladies : 33
droit : 4
Quantities : 7
Hatzfeldt : 7
apartments : 2
enormously : 2
flags : 5
Meudon : 2
moderates : 2
modern : 5
visibly : 2
Thierss : 2
occasionally : 7
souvenir : 2
andwe : 3
wrong : 2
Crown : 10
asthe : 2
heads : 3
certain : 19
theMinistry : 7
used : 27
GrandMaitre : 2
marked : 4
intrigue : 2
borne : 2
nearer : 2
keen : 14
indifferent : 2
keep : 14
skate : 4
necessarily : 2
alone : 11
along : 5
thetwo : 2
regiment : 2
Denmark : 8
Politics : 23
user : 3
manypeople : 3
bring : 6
Armee : 2
brotherinlaw : 4
itwas : 12
Vatican : 4
promoting : 2
veil : 8
himvery : 2
wemade : 2
boiling : 2
turning : 2
peace : 4
brother : 7
whom : 19
scarcely : 2
havebeen : 2
disclaimer : 3
lasted : 5
toget : 2
mounted : 3
Thursday : 3
hadnt : 14
Place : 31
stairs : 3
girls : 3
chairs : 5
Frances : 2
andhappy : 2
ribbon : 2
Italy : 14
burst : 2
necessity : 2
mistakes : 2
dites : 2
personality : 7
sanction : 2
trouble : 7
republicaine : 2
kept : 16
EBooks : 11
firstdays : 3
presents : 4
very : 476
toestablish : 2
theend : 3
agood : 3
encouraging : 2
issue : 2
lower : 4
Plain : 7
acted : 2
cheeks : 2
May : 24
turned : 5
library : 5
GareSt : 2
didntcare : 3
seemed : 30
off : 25
generally : 23
thegreat : 2
Nowthere : 2
NEW : 54
THETRADEMARK : 2
ruling : 2
marshal : 63
claim : 2
months : 6
noparticular : 2
chosen : 2
coat : 4
eldest : 3
aslight : 2
bride : 2
Lyons : 11
passionate : 3
keys : 2
dreamed : 4
puis : 3
sympathy : 4
fight : 4
pretty : 36
Duke : 12
regiments : 2
madame : 85
painting : 3
carlo : 2
Cloud : 5
Paris : 98
remarks : 4
evidently : 9
States : 17
speaking : 7
motherwas : 2
wouldsee : 2
old : 75
settled : 11
thecourt : 2
theprincess : 4
REPUBLICAN : 23
twelve : 6
starting : 2
wehad : 6
conservative : 4
conference : 2
Bois : 7
onOne : 2
variety : 2
entrances : 2
Call : 7
ona : 2
stormy : 4
one : 390
connected : 3
ont : 2
Francais : 7
Dutch : 4
country : 68
himThere : 2
willing : 4
sincerity : 2
regularly : 6
details : 9
satisfactory : 2
Another : 24
treated : 6
FOYER : 2
smiling : 6
DAMAGES : 3
suppose : 25
cavalry : 3
NOT : 231
wasannounced : 2
towns : 2
ofVersailles : 2
support : 3
theRepublic : 3
cold : 30
life : 64
shapes : 2
Cant : 6
Whenever : 4
lieu : 3
cases : 3
wide : 3
regime : 3
witha : 2
Convent : 6
Perier : 7
succeed : 4
chains : 3
none : 6
closing : 4
depressed : 2
Gladstone : 6
theGrand : 3
presence : 4
andvery : 2
method : 3
wife : 24
come : 40
dans : 2
BERLIN : 41
exist : 4
Those : 28
oui : 4
robes : 2
German : 21
distribution : 5
ACTUAL : 6
our : 97
out : 85
Mrs : 10
capacity : 2
Vogue : 4
dark : 7
witty : 2
copy : 10
precise : 4
dare : 4
sensible : 3
cook : 2
Gardens : 13
clearheaded : 2
vases : 2
chorus : 3
Online : 6
roses : 3
date : 5
lamps : 4
acharming : 5
own : 35
seemto : 2
King : 29
distributing : 7
Works : 28
Usually : 12
like : 50
whichwas : 2
illusions : 2
Conservatoire : 11
prestige : 2
Senate : 10
efforts : 4
proposed : 2
embassy : 38
ground : 4
Both : 21
everybody : 16
line : 7
exile : 2
riding : 5
jeune : 2
breakfastW : 2
affairs : 18
cost : 3
stories : 5
will : 27
confidence : 4
groups : 5
cuisine : 2
breakfasts : 4
compliance : 5
assured : 4
your : 20
explanation : 3
these : 23
contributions : 2
prison : 2
sister : 4
souverain : 2
cour : 2
theevening : 2
neutral : 3
coup : 5
nous : 2
fashionable : 4
costumes : 4
theSenate : 3
VICTORY : 4
theth : 3
skates : 2
wind : 3
carriage : 17
frontthe : 2
independent : 2
yellow : 5
talking : 22
dUrville : 4
Liszt : 7
arrived : 31
Princes : 20
cows : 3
seigneurs : 2
wasmade : 2
forests : 2
photograph : 6
impartial : 2
blue : 15
wasthe : 3
speaks : 2
geraniums : 2
days : 75
faces : 7
imperial : 3
discuss : 2
liberal : 4
roaring : 2
Coquelin : 2
dayand : 2
wish : 4
belonging : 2
wise : 2
Unless : 8
conversation : 22
pas : 10
vicious : 2
invitation : 9
Hewasnt : 2
pay : 9
enormous : 3
European : 3
brilliantly : 2
strange : 3
About : 113
candidates : 2
scenes : 3
claims : 3
child : 7
medium : 5
oneday : 2
live : 6
andmake : 2
victory : 4
uniforms : 5
theslightest : 2
with : 495
china : 2
service : 11
there : 239
Ihave : 3
License : 11
TheChamber : 3
uncles : 2
peu : 2
period : 3
chancery : 2
birth : 2
slowly : 2
ever : 26
Inthe : 21
even : 41
meetings : 7
eBook : 14
engaged : 2
kinds : 16
Clarence : 2
disgusted : 6
Among : 12
Books : 10
READING : 3
bought : 3
thefirst : 3
Elysee : 33
impressions : 3
Grants : 3
plenipotentiary : 5
milieu : 3
New : 54
VERSAILLESTHE : 2
theChambers : 2
reign : 2
manner : 15
judgment : 2
members : 13
Ididnt : 4
Bazaine : 2
stock : 2
jammed : 2
terror : 2
CHAMBER : 17
Thiers : 9
senator : 11
Travelling : 4
couldfind : 2
cloaks : 5
rarely : 11
rising : 2
cause : 5
intended : 4
attending : 3
devant : 2
working : 3
explanations : 2
buttons : 2
chief : 4
aProtestant : 2
followed : 10
despite : 2
English : 56
Etrangeres : 3
velvet : 2
Assoon : 5
fantastic : 3
interested : 28
WILLIAM : 7
Wales : 14
liberty : 2
civilisation : 2
meeting : 12
landed : 2
displayed : 2
began : 16
Project : 68
nobles : 3
giving : 9
routine : 4
funny : 17
gives : 3
receive : 14
crowdthe : 2
declaration : 2
standing : 27
ceremonies : 3
realise : 2
representatives : 4
feelings : 3
continue : 2
given : 25
uncomfortable : 4
Not : 231
exaggerated : 3
Now : 30
playing : 7
receipt : 2
employees : 3
asking : 7
Review : 6
surroundings : 2
anything : 24
greatmany : 3
Telegrams : 3
retired : 2
assembled : 6
thediplomatic : 5
notwithstanding : 4
windows : 9
premiere : 2
StVallier : 2
Cataldi : 3
assassination : 2
circles : 6
put : 27
Special : 4
struggle : 3
themW : 2
Terror : 2
light : 12
apparently : 7
Faubourg : 11
ForeignOffice : 5
Sadi : 5
desire : 3
Grande : 3
unfortunately : 2
permanent : 4
Quite : 156
choice : 4
facility : 2
juin : 2
replace : 3
appointment : 2
listen : 3
wondering : 2
Ugly : 4
tres : 5
group : 12
ThatW : 2
tree : 5
tact : 5
distrust : 3
KING : 29
absolutely : 21
KIND : 19
deserted : 2
reminiscences : 2
doyen : 2
theconclusion : 2
their : 158
Victor : 4
general : 30
requirements : 4
embassies : 5
Aisne : 7
clean : 2
neither : 13
glad : 8
account : 8
unforeseen : 2
Sundays : 2
salons : 9
trip : 2
National : 22
knowledge : 3
prime : 6
happen : 2
sofa : 2
chapel : 2
enthusiasm : 7
route : 2
trying : 12
Political : 29
comite : 3
unwilling : 5
ForeignMinister : 2
honourable : 3
hearing : 3
Highness : 2
materiel : 3
Premier : 7
animmense : 2
assoon : 5
onthe : 3
charmingly : 2
represent : 2
ASCII : 3
hold : 4
Rome : 28
Sans : 3
talk : 48
tall : 13
makeany : 2
train : 7
honourably : 2
soir : 2
take : 36
accompany : 2
MadameWaddington : 6
theyare : 2
some : 164
session : 7
additional : 3
Henri : 6
petit : 6
passed : 18
reception : 31
just : 55
Henry : 2
owner : 6
sold : 2
holy : 3
MEETING : 12
strictly : 3
home : 46
hole : 2
OVER : 91
material : 2
iron : 4
VICTORIA : 9
explain : 3
royalty : 4
hope : 6
paragraphs : 3
soon : 18
tables : 4
sons : 5
husbands : 10
song : 3
distinctly : 3
heavy : 6
duConseil : 3
speculations : 2
unpleasant : 2
trainThe : 2
AFFAIRS : 18
summer : 4
Still : 35
file : 8
member : 8
together : 15
ASTHE : 2
within : 4
health : 3
prospect : 3
orthree : 2
evening : 24
return : 5
ASSEMBLY : 21
serve : 2
seats : 5
smile : 4
fine : 22
find : 20
condoleance : 2
host : 3
backward : 2
pleasant : 20
drove : 11
Have : 164
sort : 7
seriously : 2
experiences : 9
hears : 2
heart : 2
convenient : 2
task : 2
true : 8
sore : 2
position : 22
since : 10
Congress : 29
sentiment : 2
withhim : 2
dangerous : 2
withhis : 2
sous : 2
OFDELEGATES : 2
hour : 14
heard : 36
experienced : 2
execution : 3
extraordinary : 6
allclasses : 2
evident : 10
online : 6
writer : 2
writes : 2
Droite : 2
coming : 22
disturbances : 2
Cambridge : 3
firm : 3
Department : 4
thesigning : 2
fire : 9
voyons : 2
enthusiastic : 3
funeral : 3
except : 22
foreigner : 2
prominent : 4
One : 390
FrancoGerman : 3
unless : 8
plants : 2
Allthe : 16
ought : 4
Madame : 85
hecould : 3
people : 143
democracy : 3
Sorbonne : 2
operation : 2
theyoung : 3
afterward : 21
inside : 5
secretaries : 14
Luxembourg : 4
five : 8
beforehand : 2
orreuse : 2
collection : 6
announced : 19
youthful : 2
slept : 3
dAumale : 3
campaign : 5
que : 6
installed : 5
boulevard : 2
reasons : 2
qui : 3
father : 9
swept : 3
derivative : 2
commerce : 2
Republics : 3
Ialways : 2
Russia : 14
recognised : 5
wonder : 5
every : 95
Anna : 2
answered : 7
daysbefore : 2
Bibliotheque : 2
wherethere : 3
again : 30
Boulogne : 4
during : 25
degrees : 3
Buffet : 4
Oui : 4
agree : 10
Our : 97
itself : 4
anyone : 8
Majestys : 2
danced : 2
Opera : 15
donations : 14
hoped : 11
damages : 3
birds : 4
uniform : 15
thePresident : 2
wherever : 2
established : 2
SADI : 5
cannot : 9
Photograph : 6
prefet : 6
Isaid : 2
shooters : 2
tight : 3
arrange : 3
StGermain : 2
MARSHAL : 63
solicit : 2
whatwas : 2
covered : 6
Louis : 7
holding : 2
trace : 2
moments : 3
public : 42
pneumonia : 2
clubs : 2
Declaration : 2
roomHe : 2
Arnim : 5
upwith : 2
expensive : 2
round : 5
garrison : 4
Tell : 6
ambassador : 47
horses : 14
inEnglish : 2
references : 2
despatches : 3
building : 2
setting : 2
sorts : 23
ran : 3
younger : 6
Cardinal : 3
packages : 3
redistributing : 2
shaking : 2
itseemed : 2
formalvisit : 2
Legion : 2
Author : 2
verymuch : 5
posted : 4
huissiers : 9
French : 90
Legitimists : 2
wasThe : 3
aspect : 2
frontThe : 2
fanciful : 3
theinterview : 2
womans : 2
qualities : 2
Introducteur : 2
couple : 3
moved : 7
red : 12
act : 4
helped : 4
mutual : 2
begged : 2
exchange : 2
Prefets : 2
Bridge : 6
trust : 2
soldiers : 3
theatres : 5
prevent : 2
sorry : 12
humiliation : 3
usand : 2
message : 2
age : 4
shoulders : 4
smaller : 2
ago : 4
faults : 2
years : 64
chateau : 7
disappointment : 2
defect : 2
George : 2
Prefecture : 3
Minister : 49
Catholic : 8
theConservatoire : 4
spot : 3
animated : 8
AGREE : 10
other : 63
Comique : 6
Meeting : 12
uncle : 5
HAVE : 164
air : 5
defeat : 3
electronic : 19
vacation : 2
speak : 16
receptionday : 2
moat : 3
historian : 2
Theywere : 5
Pie : 2
carriagewith : 2
future : 12
Russians : 3
DONATIONS : 14
movement : 2
royal : 16
signing : 2
Mayor : 2
duke : 12
impressed : 3
body : 2
buffet : 4
all : 434
always : 176
already : 15
applicable : 3
strangers : 8
expense : 2
villas : 2
Dumont : 4
theChamber : 3
wouldpass : 2
accession : 2
favour : 2
weakness : 2
and : 1831
row : 3
inParis : 6
abroad : 7
any : 162
suggested : 4
until : 18
dull : 2
thought : 54
Popes : 2
anywhere : 5
stalls : 2
Anton : 2
Iwas : 6
devoted : 3
broke : 3
succeeded : 2
Certainly : 28
are : 95
came : 87
where : 67
Many : 155
arm : 6
art : 2
complications : 2
Odeon : 3
oflife : 2
holder : 4
call : 7
calm : 3
Several : 23
tospeak : 2
Treaty : 7
ask : 9
theories : 2
relations : 2
through : 42
rue : 13
becoming : 4
strength : 5
officer : 2
run : 6
cant : 6
proclivities : 2
mother : 10
view : 11
ours : 2
donate : 2
dust : 2
palace : 22
Bourneville : 4
travelling : 4
thereand : 2
admiral : 5
name : 13
Long : 88
spaces : 2
Reservoirs : 2
Domain : 10
presided : 3
Christmas : 8
novelty : 2
absence : 4
book : 3
Mars : 3
Mary : 4
sympathies : 3
Madeleine : 2
Theprincess : 4
andone : 3
leader : 2
hewasnt : 2
amnesty : 3
piano : 7
anxious : 11
officials : 3
broad : 5
princess : 34
case : 6
admired : 4
generation : 2
images : 2
courtmartial : 3
Parisian : 3
Lord : 29
saidIt : 2
care : 14
therooms : 2
Hohenlohe : 10
cramped : 3
admirer : 3
discomforts : 2
more : 69
born : 5
display : 2
beautifully : 2
excitedabout : 2
diamonds : 3
habits : 6
simple : 6
INCLUDING : 8
Mission : 9
package : 2
king : 29
kind : 19
consultations : 2
both : 21
most : 70
unscrupulous : 2
courteous : 5
Heand : 2
sad : 4
mentioned : 5
amount : 6
move : 4
NasredDin : 2
sat : 14
saw : 55
say : 63
also : 40
enough : 22
spread : 2
REPLACEMENT : 5
educated : 2
guests : 14
simply : 4
bad : 7
wasreally : 2
boys : 2
Interior : 2
luncheon : 2
Wehad : 6
UNIFORM : 15
astrong : 2
personal : 10
angry : 3
Chamber : 17
Germain : 10
strong : 20
deal : 31
facing : 2
onerous : 2
ministers : 23
eyes : 14
sea : 4
princesses : 5
proved : 2
smoothly : 4
see : 112
Roses : 3
EDITIONS : 3
Compiegne : 4
set : 12
joined : 2
ofsome : 2
WARRANTY : 2
earnest : 5
river : 8
astonished : 6
sortsof : 2
bed : 3
marriages : 6
useless : 4
allthe : 16
splendidly : 2
Voyons : 2
she : 179
Gutenbergtmelectronic : 3
Augustines : 3
finances : 3
little : 92
theambassadors : 2
deep : 2
shy : 4
HIGHNESS : 2
manythings : 2
explained : 2
getting : 16
sit : 7
over : 91
brilliant : 24
living : 15
practical : 2
six : 4
assuring : 2
bound : 3
retainer : 2
OFFICERS : 16
BACK : 55
fresh : 4
entourage : 2
big : 61
advanced : 13
wasalways : 3
nations : 3
President : 42
ofcourse : 3
striking : 9
convinced : 4
Germans : 4
NATIONAL : 22
large : 34
Victoria : 9
satisfied : 5
foolish : 2
PARLIAMENT : 16
exclusively : 2
begin : 3
Germany : 16
paragraph : 10
Kruft : 6
neighbour : 3
table : 15
wasmuch : 3
change : 15
Cela : 2
Francaise : 4
instruction : 9
andmost : 2
VERSAILLESThe : 2
Beust : 2
constant : 3
Itwas : 12
several : 23
office : 31
Franz : 2
son : 12
Petersburg : 2
Something : 22
Droit : 4
prefets : 2
thrown : 4
Herbert : 4
AND : 1831
Wednesday : 4
littered : 2
bon : 2
behind : 7
box : 14
tiring : 2
bow : 2
ANY : 162
boy : 3
upstairs : 7
inLondon : 2
unfortunate : 5
chance : 8
nature : 2
Andre : 4
essentially : 2
tempting : 5
dancing : 4
stood : 6
miserably : 2
Saturday : 3
OWNER : 6
friend : 31
drawn : 2
pleasure : 11
interpreter : 5
morning : 25
horse : 4
actors : 2
mission : 9
PALACE : 22
plunged : 3
autumn : 4
redfaced : 2
conditions : 2
daytime : 2
Such : 44
Emmanuel : 3
undisturbed : 2
sun : 8
sup : 2
secretary : 8
managed : 5
GutenbergtmLicense : 2
preferred : 7
comedie : 4
amie : 3
orator : 2
makes : 2
condemned : 2
Cest : 3
story : 10
but : 300
wished : 5
express : 2
fille : 2
instantly : 6
written : 5
Duchess : 3
ofSt : 2
functionaries : 2
General : 30
doing : 3
idea : 7
Inside : 5
PRIME : 6
lovely : 7
figure : 15
stone : 4
passing : 10
souvenirs : 3
punctual : 2
Account : 8
streets : 8
immensely : 2
alittle : 5
children : 11
road : 4
review : 6
weather : 3
nobody : 3
WORE : 11
atime : 2
natural : 4
Chapel : 2
stately : 5
Comite : 3
livingrooms : 4
racing : 2
sympathetic : 4
rode : 11
feature : 2
screens : 3
valise : 3
generals : 2
ProjectGutenbergtm : 11
etiquette : 4
Sometimes : 33
elements : 2
Chinese : 7
Ministry : 44
begun : 3
Ministre : 4
growing : 3
utterly : 4
readable : 2
filed : 3
patients : 2
ugly : 4
tax : 6
MONSIEUR : 10
files : 2
departure : 6
herself : 4
stout : 5
Mademoiselle : 2
sais : 3
goodlooking : 3
can : 30
hair : 4
cap : 3
Moderate : 10
marriage : 7
said : 105
carried : 3
cleaning : 2
hurrying : 2
really : 32
clothes : 4
